ComponentType,Currency,CurrencyAmount,Date
order,GBP,412,2016-03-27 07:43:40
invoice,GBP,37,2016-09-27 01:56:20
order,GBP,282,2016-03-24 15:19:04
order,EUR,289,2016-01-25 01:43:32
order,GBP,288,2016-08-28 09:44:42
invoice,USD,783,2016-03-18 17:59:43
order,GBP,292,2016-12-19 08:46:12
invoice,USD,693,2016-11-06 17:07:15
order,EUR,710,2016-02-04 18:17:37
return,USD,302,2016-07-10 20:13:17
return,GBP,754,2016-06-01 10:23:34
return,EUR,981,2016-12-18 14:23:18
return,EUR,922,2016-09-30 20:27:41
order,GBP,797,2016-02-29 06:34:26
invoice,EUR,246,2016-04-01 08:52:05
return,EUR,609,2016-02-04 18:24:39
return,USD,657,2016-07-01 16:59:58
invoice,GBP,540,2016-09-19 17:48:43
invoice,GBP,114,2016-08-16 02:13:20
invoice,EUR,700,2016-08-31 02:03:24
return,USD,452,2016-04-04 07:56:29
order,USD,930,2016-10-25 05:54:08
invoice,EUR,772,2016-10-28 03:15:09
invoice,EUR,808,2016-12-08 00:49:55
order,EUR,867,2016-01-29 01:13:57
invoice,USD,356,2016-08-13 21:30:30
return,USD,36,2016-06-02 09:21:39
invoice,USD,279,2016-01-03 12:59:27
order,GBP,157,2016-02-05 12:36:01
invoice,USD,854,2016-05-21 03:04:53
invoice,USD,458,2016-02-29 15:09:00
invoice,EUR,742,2016-02-09 17:26:52
return,EUR,378,2016-09-17 05:12:43
return,USD,874,2016-09-04 01:53:56
order,USD,409,2016-07-17 14:50:39
invoice,EUR,816,2016-12-22 07:03:02
invoice,GBP,278,2016-09-12 14:11:25
return,GBP,338,2016-02-28 15:57:51
order,GBP,118,2016-03-16 11:08:57
order,USD,958,2016-11-30 20:57:21
order,USD,118,2016-08-04 23:43:15
order,EUR,509,2016-09-30 22:57:21
return,USD,300,2016-11-30 21:02:27
invoice,EUR,551,2016-02-02 23:35:42
order,USD,653,2016-12-18 22:02:25
return,USD,290,2016-06-09 09:11:34
return,USD,969,2016-04-21 05:42:20
invoice,GBP,179,2016-08-18 16:34:39
return,EUR,921,2016-12-22 19:37:51
order,USD,800,2016-09-20 21:17:06
invoice,GBP,756,2016-02-11 00:22:54
return,EUR,429,2016-12-10 04:13:22
order,GBP,643,2016-02-26 18:57:00
order,EUR,366,2016-01-16 17:10:59
invoice,USD,143,2016-08-31 03:55:53
order,GBP,341,2016-05-08 18:32:14
order,EUR,828,2016-07-30 19:52:29
invoice,USD,506,2016-04-14 14:11:14
order,USD,208,2016-01-28 18:07:24
return,GBP,455,2016-05-15 00:23:09
invoice,USD,849,2016-06-04 21:11:42
return,USD,200,2016-03-05 11:12:57
order,GBP,647,2016-11-04 05:02:45
return,USD,814,2016-06-21 01:52:37
invoice,USD,758,2016-06-18 11:59:51
return,USD,751,2016-12-09 17:15:45
return,USD,22,2016-09-05 09:40:13
order,GBP,20,2016-04-05 03:27:25
invoice,EUR,261,2016-07-07 11:58:33
invoice,USD,104,2016-02-18 02:10:23
order,EUR,154,2016-05-06 20:32:56
return,GBP,192,2016-04-09 15:30:30
order,EUR,69,2016-06-09 08:24:56
order,USD,75,2016-12-29 09:11:19
return,USD,857,2016-05-19 07:21:14
order,EUR,279,2016-05-23 04:05:21
invoice,GBP,410,2016-05-11 08:54:48
return,GBP,457,2016-04-13 11:44:07
order,GBP,669,2016-12-11 10:45:04
return,GBP,582,2016-03-26 20:36:11
invoice,EUR,97,2016-03-21 10:36:35
return,USD,798,2016-10-31 17:38:37
order,EUR,976,2016-04-26 05:20:18
invoice,GBP,435,2016-09-21 04:17:40
order,USD,1000,2016-11-08 10:44:20
order,GBP,580,2016-01-02 21:22:47
return,EUR,527,2016-01-25 18:44:08
return,USD,753,2016-11-06 23:33:17
invoice,GBP,444,2016-01-29 12:33:47
invoice,EUR,125,2016-09-26 23:21:46
return,GBP,71,2016-10-25 09:55:25
order,USD,229,2016-04-25 01:49:13
invoice,EUR,282,2016-04-22 12:45:40
invoice,USD,570,2016-09-02 06:45:58
return,USD,608,2016-01-14 11:33:23
return,USD,476,2016-12-21 23:39:06
return,GBP,714,2016-01-26 00:07:25
order,USD,43,2016-03-12 07:51:37
order,USD,490,2016-04-19 02:27:29
order,GBP,553,2016-11-06 19:29:06
invoice,GBP,179,2016-04-13 04:16:54
order,GBP,525,2016-12-27 18:11:35
return,EUR,541,2016-03-11 04:33:43
return,USD,94,2016-04-26 14:10:23
order,GBP,712,2016-05-04 23:02:56
invoice,GBP,33,2016-02-12 06:57:04
return,EUR,424,2016-07-28 11:23:43
return,USD,811,2016-12-23 17:12:33
invoice,USD,531,2016-01-11 11:04:52
order,USD,699,2016-08-12 06:19:27
return,USD,412,2016-03-31 15:37:40
return,EUR,670,2016-07-27 13:32:04
return,GBP,138,2016-01-08 20:20:54
order,EUR,760,2016-05-10 16:23:22
invoice,GBP,803,2016-01-31 10:52:50
order,GBP,232,2016-05-19 21:38:09
invoice,USD,139,2016-12-17 17:36:18
return,USD,818,2016-07-14 01:29:31
order,GBP,802,2016-02-09 10:17:05
return,EUR,584,2016-11-11 07:35:10
order,GBP,267,2016-09-02 09:34:04
return,GBP,985,2016-04-09 01:20:06
invoice,EUR,581,2016-08-08 21:06:48
order,GBP,699,2016-07-13 08:14:22
order,GBP,526,2016-05-17 20:10:15
return,USD,617,2016-11-09 21:17:30
return,GBP,499,2016-10-29 00:29:55
return,GBP,914,2016-06-13 22:01:04
order,EUR,26,2016-10-12 06:14:53
order,EUR,525,2016-01-24 01:45:16
order,USD,632,2016-01-25 01:16:42
invoice,GBP,949,2016-10-16 11:11:46
order,EUR,135,2016-09-28 09:59:13
invoice,EUR,343,2016-07-02 18:42:06
return,EUR,504,2016-03-21 14:51:56
order,EUR,50,2016-05-15 18:00:08
order,EUR,995,2016-12-01 09:36:08
invoice,EUR,42,2016-05-07 18:13:47
invoice,GBP,449,2016-10-01 16:32:57
order,USD,233,2016-12-03 19:28:37
return,GBP,691,2016-07-23 00:12:37
invoice,GBP,104,2016-07-16 04:28:50
invoice,GBP,880,2016-08-14 12:23:01
return,EUR,670,2016-05-29 11:30:13
return,USD,407,2016-05-01 19:19:29
invoice,USD,219,2016-12-25 01:26:54
return,GBP,779,2016-12-25 05:49:12
invoice,GBP,431,2016-12-02 13:35:44
order,EUR,129,2016-06-12 01:34:51
return,USD,590,2016-11-04 04:29:07
order,USD,234,2016-03-29 06:27:16
invoice,EUR,283,2016-04-02 21:06:45
return,USD,646,2016-10-31 17:14:20
return,GBP,127,2016-01-17 05:08:59
invoice,EUR,993,2016-10-16 08:46:04
return,GBP,514,2016-03-01 20:27:09
invoice,GBP,53,2016-02-13 10:50:18
order,EUR,96,2016-02-16 17:52:06
invoice,EUR,428,2016-01-04 17:22:12
return,EUR,782,2016-03-04 17:02:15
order,EUR,131,2016-03-28 06:59:13
return,USD,430,2016-06-07 22:00:43
invoice,EUR,962,2016-03-18 16:24:53
invoice,USD,137,2016-12-13 10:39:30
order,GBP,802,2016-06-11 23:54:10
return,GBP,491,2016-04-17 05:44:51
return,GBP,259,2016-10-20 12:36:45
invoice,EUR,419,2016-10-21 10:18:06
invoice,USD,914,2016-01-08 17:46:41
order,EUR,158,2016-09-18 21:59:03
invoice,GBP,684,2016-01-22 17:19:42
invoice,EUR,711,2016-02-14 19:41:22
order,GBP,784,2016-02-04 15:44:55
invoice,GBP,713,2016-03-25 08:45:37
invoice,USD,487,2016-07-25 19:15:30
invoice,EUR,103,2016-01-23 20:41:13
order,GBP,122,2016-02-12 12:49:24
return,EUR,34,2016-01-30 20:28:30
invoice,EUR,558,2016-10-17 12:58:29
return,EUR,860,2016-08-07 07:15:55
order,GBP,768,2016-03-12 09:37:30
order,GBP,467,2016-11-24 18:55:11
return,USD,40,2016-03-05 09:06:35
return,EUR,177,2016-08-11 11:25:11
invoice,EUR,974,2016-01-26 16:14:38
return,GBP,714,2016-04-06 07:31:52
return,EUR,760,2016-03-05 12:10:02
order,GBP,699,2016-03-29 04:39:34
return,USD,156,2016-04-21 09:35:22
order,USD,306,2016-09-04 17:41:08
order,USD,661,2016-07-14 01:37:46
invoice,GBP,166,2016-04-11 08:20:01
invoice,GBP,881,2016-08-09 06:49:25
invoice,GBP,645,2016-06-03 05:41:42
order,EUR,408,2016-09-03 17:22:18
return,EUR,435,2016-01-01 06:54:52
invoice,EUR,369,2016-01-20 14:44:58
return,USD,853,2016-03-10 16:44:02
return,EUR,714,2016-02-21 23:46:58
return,EUR,963,2016-01-13 17:40:20
order,EUR,972,2016-08-07 04:30:53
return,GBP,258,2016-06-14 09:00:34
order,EUR,31,2016-01-23 11:40:05
return,GBP,487,2016-08-02 10:53:42
order,USD,293,2016-04-04 10:59:46
order,USD,887,2016-05-10 18:36:23
invoice,EUR,297,2016-12-13 14:44:54
return,EUR,375,2016-10-07 21:06:20
order,EUR,676,2016-07-04 18:45:14
return,GBP,98,2016-09-25 05:11:23
order,USD,80,2016-03-26 19:06:41
order,GBP,786,2016-09-07 16:29:31
return,USD,863,2016-09-05 18:47:17
invoice,USD,317,2016-06-13 23:09:56
invoice,GBP,728,2016-01-06 06:38:14
invoice,GBP,899,2016-12-04 10:56:59
return,EUR,518,2016-02-13 00:45:05
return,EUR,455,2016-01-07 17:25:17
order,USD,560,2016-01-13 02:32:12
order,GBP,176,2016-03-30 17:00:05
order,USD,751,2016-10-03 22:31:18
return,USD,37,2016-11-22 21:25:32
return,USD,274,2016-04-12 22:07:11
order,EUR,828,2016-08-03 18:00:35
order,GBP,256,2016-12-22 23:23:35
order,GBP,971,2016-07-31 01:08:19
invoice,EUR,485,2016-04-02 06:12:15
return,EUR,241,2016-12-10 17:47:58
order,EUR,979,2016-03-26 14:34:39
return,GBP,866,2016-08-01 19:56:48
order,GBP,738,2016-01-05 11:26:36
order,EUR,396,2016-08-22 11:32:38
return,GBP,938,2016-06-14 05:38:58
return,EUR,961,2016-05-07 02:27:17
invoice,EUR,545,2016-06-28 07:47:15
return,GBP,837,2016-06-28 20:50:02
invoice,EUR,295,2016-09-28 21:27:40
return,USD,604,2016-08-21 02:54:39
return,EUR,29,2016-02-21 00:02:40
invoice,GBP,229,2016-10-01 21:25:31
order,GBP,671,2016-02-21 05:41:15
return,GBP,257,2016-12-11 04:04:10
invoice,EUR,247,2016-10-13 00:25:55
order,USD,372,2016-02-05 03:09:44
order,GBP,933,2016-07-06 07:33:57
invoice,USD,743,2016-12-19 15:56:30
order,EUR,318,2016-11-04 08:29:00
order,GBP,696,2016-09-13 18:55:55
order,GBP,442,2016-12-08 09:43:34
invoice,USD,71,2016-04-01 03:00:11
return,USD,25,2016-09-01 08:19:03
return,USD,262,2016-08-09 04:18:29
order,EUR,396,2016-10-05 21:50:27
invoice,USD,888,2016-11-12 03:18:56
invoice,USD,185,2016-02-18 16:05:27
order,EUR,873,2016-10-29 06:18:59
return,GBP,655,2016-05-28 17:31:28
invoice,EUR,204,2016-09-15 23:18:12
order,EUR,577,2016-10-05 03:40:49
invoice,USD,911,2016-07-14 00:58:37
return,EUR,702,2016-09-11 15:43:03
invoice,EUR,807,2016-08-10 15:50:08
invoice,GBP,65,2016-06-27 17:11:56
return,EUR,457,2016-06-04 08:57:21
invoice,EUR,161,2016-04-22 03:49:23
order,EUR,23,2016-08-11 18:14:26
return,USD,44,2016-02-02 05:33:49
order,EUR,450,2016-01-17 05:18:49
return,EUR,656,2016-12-05 01:58:32
order,EUR,159,2016-03-13 23:50:34
order,GBP,287,2016-11-14 11:07:40
return,EUR,408,2016-11-04 09:56:00
order,EUR,316,2016-03-25 00:25:13
invoice,GBP,644,2016-11-22 21:48:57
invoice,USD,558,2016-11-18 14:49:02
return,USD,976,2016-11-22 13:28:57
order,USD,749,2016-03-29 10:34:25
order,EUR,684,2016-01-15 02:14:47
invoice,EUR,231,2016-10-17 11:14:04
order,EUR,469,2016-02-28 18:19:55
order,GBP,782,2016-08-26 20:36:58
invoice,GBP,527,2016-01-12 13:23:11
invoice,EUR,864,2016-02-12 02:02:45
order,USD,379,2016-03-23 00:11:28
return,EUR,693,2016-12-11 06:04:27
return,GBP,574,2016-11-07 04:28:08
invoice,EUR,708,2016-12-22 01:47:19
return,GBP,916,2016-10-10 20:42:44
invoice,GBP,701,2016-09-11 23:06:43
return,EUR,114,2016-07-17 05:17:04
invoice,EUR,907,2016-07-16 13:52:11
order,USD,722,2016-06-07 15:16:44
invoice,USD,527,2016-12-31 07:25:55
invoice,USD,79,2016-03-07 20:48:51
order,USD,165,2016-04-02 04:01:08
order,GBP,344,2016-06-18 19:31:34
return,EUR,802,2016-05-09 23:01:07
invoice,USD,9,2016-06-02 15:28:52
order,GBP,580,2016-06-20 13:45:39
invoice,USD,269,2016-07-02 12:49:38
invoice,USD,980,2016-06-16 16:02:16
order,USD,168,2016-05-04 23:30:08
return,USD,1000,2016-05-11 21:12:58
order,GBP,94,2016-06-29 17:15:16
invoice,USD,29,2016-01-17 05:27:23
return,USD,583,2016-02-29 03:52:38
invoice,EUR,146,2016-03-03 11:20:38
return,USD,767,2016-08-11 04:18:22
return,EUR,89,2016-09-20 10:40:57
invoice,GBP,795,2016-11-05 11:07:10
order,GBP,870,2016-08-28 13:51:20
order,GBP,108,2016-12-01 07:19:37
invoice,GBP,102,2016-10-18 16:33:10
invoice,EUR,771,2016-05-12 00:20:23
return,USD,177,2016-10-16 20:48:03
invoice,GBP,354,2016-10-18 17:28:02
return,USD,935,2016-02-12 01:41:59
invoice,GBP,282,2016-03-03 22:48:05
order,GBP,494,2016-05-17 19:10:02
return,EUR,311,2016-11-22 23:19:53
order,EUR,703,2016-04-25 07:45:29
order,USD,876,2016-08-14 00:24:10
order,USD,731,2016-05-15 11:51:12
order,EUR,558,2016-08-25 01:38:00
order,GBP,831,2016-02-07 13:25:18
order,USD,494,2016-09-11 12:08:57
return,GBP,4,2016-02-23 06:49:32
return,USD,375,2016-04-30 03:59:03
order,GBP,348,2016-12-03 14:09:45
order,EUR,837,2016-06-02 18:56:57
return,EUR,526,2016-10-09 18:02:18
invoice,EUR,637,2016-11-06 13:32:12
invoice,USD,684,2016-01-23 03:23:58
return,GBP,699,2016-02-20 20:08:13
return,GBP,295,2016-12-17 10:54:07
return,EUR,945,2016-05-24 05:55:11
order,GBP,882,2016-12-12 00:52:24
invoice,GBP,167,2016-03-24 19:26:25
invoice,EUR,732,2016-06-05 05:20:25
invoice,USD,139,2016-01-16 05:30:00
order,EUR,495,2016-01-27 23:04:25
order,EUR,481,2016-01-09 23:42:44
order,USD,368,2016-02-20 13:49:56
return,EUR,799,2016-01-24 23:02:17
order,GBP,663,2016-06-12 08:11:45
order,GBP,477,2016-06-06 23:27:16
return,USD,185,2016-11-08 21:06:13
return,EUR,979,2016-05-07 11:08:41
order,USD,564,2016-11-23 14:41:23
invoice,EUR,808,2016-07-09 14:20:40
order,EUR,951,2016-04-25 16:37:03
return,USD,368,2016-02-09 01:31:57
return,EUR,363,2016-07-09 23:04:19
return,GBP,372,2016-07-24 04:02:20
return,EUR,606,2016-04-18 07:12:46
return,GBP,556,2016-08-24 17:35:24
order,USD,298,2016-03-08 08:41:56
invoice,GBP,195,2016-03-10 14:10:18
order,GBP,810,2016-01-14 11:53:40
order,GBP,580,2016-12-23 12:18:12
return,EUR,326,2016-12-19 20:24:49
return,USD,162,2016-02-15 17:50:19
order,USD,410,2016-06-23 05:09:34
invoice,USD,823,2016-06-16 20:46:40
return,EUR,704,2016-03-22 08:18:13
invoice,EUR,518,2016-03-29 17:06:14
return,EUR,706,2016-04-10 21:51:18
return,EUR,164,2016-02-11 18:11:59
invoice,USD,465,2016-12-26 08:19:00
return,USD,418,2016-09-20 09:26:29
invoice,USD,656,2016-06-24 22:44:07
order,EUR,624,2016-12-06 03:47:33
invoice,EUR,389,2016-08-03 12:59:04
invoice,EUR,965,2016-04-16 22:11:04
invoice,USD,847,2016-05-19 07:49:03
order,EUR,14,2016-12-27 07:24:27
return,EUR,86,2016-07-06 11:58:50
return,EUR,280,2016-02-09 05:44:12
return,USD,30,2016-12-07 23:30:18
return,USD,136,2016-09-28 16:51:54
invoice,GBP,665,2016-12-09 21:41:07
invoice,EUR,554,2016-04-18 20:25:51
return,USD,717,2016-12-31 10:36:12
order,USD,687,2016-06-09 17:26:06
return,GBP,737,2016-08-17 03:39:25
return,GBP,960,2016-04-22 20:34:07
order,EUR,266,2016-10-03 11:21:24
order,USD,262,2016-06-23 01:34:05
return,GBP,163,2016-12-19 03:58:19
order,USD,977,2016-07-15 22:11:16
order,EUR,390,2016-12-21 11:39:45
return,EUR,11,2016-12-22 14:54:00
order,EUR,556,2016-09-22 09:34:52
return,GBP,476,2016-03-15 00:00:15
return,GBP,115,2016-06-10 02:06:30
invoice,EUR,374,2016-03-22 11:51:03
invoice,USD,840,2016-03-15 02:38:17
order,GBP,24,2016-10-31 15:12:01
order,EUR,343,2016-08-10 11:49:46
invoice,GBP,921,2016-05-09 22:05:35
order,GBP,699,2016-10-31 13:53:34
invoice,EUR,445,2016-09-01 19:58:21
order,GBP,274,2016-04-25 01:00:23
invoice,USD,293,2016-05-09 08:25:12
invoice,USD,206,2016-02-06 16:42:34
return,USD,896,2016-05-07 10:44:58
order,USD,101,2016-04-08 19:09:56
order,USD,860,2016-03-30 20:43:01
order,EUR,26,2016-01-28 06:56:54
order,EUR,708,2016-01-02 04:55:22
return,USD,922,2016-11-16 13:30:53
order,EUR,163,2016-06-21 13:44:49
order,GBP,849,2016-12-29 08:47:43
order,USD,933,2016-12-17 17:26:46
return,EUR,774,2016-10-05 08:57:49
invoice,EUR,933,2016-03-17 05:11:23
order,EUR,529,2016-09-13 11:33:47
order,EUR,753,2016-09-14 08:29:00
order,GBP,61,2016-11-15 06:43:36
order,USD,406,2016-04-25 14:24:34
invoice,USD,942,2016-01-24 20:40:47
invoice,GBP,940,2016-07-10 23:01:19
return,USD,419,2016-02-02 01:59:26
order,EUR,416,2016-04-21 23:42:26
return,EUR,737,2016-02-18 08:02:12
return,USD,626,2016-10-17 19:44:41
order,USD,725,2016-06-25 20:40:03
order,USD,481,2016-11-16 11:55:45
invoice,USD,241,2016-03-13 07:40:44
invoice,GBP,721,2016-03-02 06:31:57
order,EUR,135,2016-10-26 10:45:50
return,EUR,971,2016-02-03 12:10:56
return,GBP,698,2016-11-29 19:03:42
return,USD,588,2016-09-14 03:26:21
invoice,USD,196,2016-11-04 11:58:23
return,EUR,638,2016-10-30 15:22:49
return,EUR,263,2016-06-13 22:56:02
invoice,GBP,266,2016-07-03 18:04:59
invoice,GBP,828,2016-06-08 16:28:10
invoice,USD,48,2016-03-31 02:27:51
order,USD,322,2016-11-05 23:09:36
return,USD,781,2016-05-17 10:37:15
invoice,USD,662,2016-09-18 10:45:14
order,EUR,917,2016-11-26 10:31:17
invoice,GBP,625,2016-09-28 17:54:27
return,GBP,863,2016-06-13 10:51:48
order,USD,948,2016-10-09 21:28:43
invoice,EUR,128,2016-12-29 11:25:09
order,USD,428,2016-01-25 20:31:05
invoice,GBP,464,2016-05-12 15:45:36
invoice,EUR,191,2016-07-13 20:18:02
return,USD,694,2016-07-04 22:23:58
order,GBP,785,2016-03-30 18:58:44
invoice,USD,947,2016-05-08 18:02:09
invoice,EUR,37,2016-11-01 16:44:36
invoice,EUR,267,2016-05-17 11:22:17
order,GBP,991,2016-05-16 18:23:55
order,EUR,825,2016-06-27 05:36:56
invoice,EUR,44,2016-12-13 18:25:33
invoice,EUR,309,2016-08-27 05:58:21
order,USD,381,2016-12-24 08:02:11
invoice,USD,345,2016-12-24 22:29:28
order,EUR,677,2016-05-31 11:35:26
return,USD,53,2016-12-15 18:40:34
order,USD,752,2016-04-16 08:20:38
return,GBP,990,2016-06-16 01:37:42
invoice,EUR,172,2016-12-05 11:15:10
invoice,USD,154,2016-08-24 12:22:16
return,EUR,507,2016-03-19 18:59:55
order,USD,887,2016-10-21 19:14:07
invoice,USD,290,2016-08-08 16:29:48
order,GBP,340,2016-01-17 08:41:44
order,USD,40,2016-04-09 20:25:52
invoice,USD,285,2016-08-22 07:12:51
return,EUR,445,2016-10-12 23:13:23
order,GBP,288,2016-05-07 09:14:56
return,USD,168,2016-07-01 00:55:33
invoice,EUR,552,2016-10-04 22:19:24
invoice,GBP,213,2016-08-07 11:10:52
return,EUR,601,2016-02-29 22:14:54
order,EUR,403,2016-01-02 15:53:05
return,GBP,669,2016-05-08 00:33:30
order,USD,725,2016-09-24 03:35:26
invoice,USD,746,2016-01-19 15:11:53
invoice,USD,732,2016-01-29 04:37:37
return,USD,123,2016-12-17 09:14:10
order,USD,829,2016-04-16 11:04:06
invoice,GBP,139,2016-12-12 08:36:09
invoice,USD,619,2016-02-07 03:19:57
order,GBP,666,2016-03-08 10:48:31
return,EUR,735,2016-07-12 21:33:25
invoice,USD,214,2016-12-29 23:27:05
return,EUR,967,2016-08-15 05:36:47
invoice,EUR,500,2016-06-17 19:49:38
return,GBP,633,2016-05-23 22:04:32
invoice,GBP,660,2016-05-20 02:19:05
return,GBP,508,2016-07-09 19:45:15
order,USD,71,2016-01-11 13:22:11
order,USD,220,2016-07-17 14:07:41
order,GBP,696,2016-08-04 10:51:28
invoice,USD,109,2016-10-18 21:05:09
order,USD,490,2016-06-08 12:00:59
invoice,USD,262,2016-01-22 16:25:23
return,USD,625,2016-04-29 00:01:01
invoice,GBP,161,2016-08-02 17:10:35
order,EUR,722,2016-10-27 15:17:09
order,EUR,785,2016-01-07 07:55:13
invoice,USD,689,2016-01-08 22:44:17
invoice,EUR,339,2016-11-27 15:55:47
return,GBP,776,2016-12-30 08:27:40
order,EUR,561,2016-11-18 22:25:15
invoice,USD,161,2016-01-22 11:34:36
return,GBP,806,2016-05-06 18:46:34
order,USD,345,2016-11-13 03:37:28
invoice,GBP,846,2016-11-11 12:06:27
invoice,GBP,522,2016-11-03 09:51:36
order,EUR,558,2016-01-11 16:44:58
return,EUR,172,2016-01-11 01:56:40
order,GBP,257,2016-03-08 11:02:51
order,GBP,690,2016-11-26 13:57:56
invoice,EUR,53,2016-02-04 05:14:43
order,EUR,886,2016-06-22 15:21:12
return,EUR,994,2016-02-20 03:17:19
order,USD,563,2016-01-30 10:21:08
order,GBP,576,2016-05-14 17:50:58
order,USD,215,2016-09-16 12:13:23
invoice,USD,37,2016-09-13 05:02:51
order,GBP,214,2016-12-12 02:54:05
order,GBP,859,2016-09-06 02:23:36
invoice,USD,106,2016-01-01 11:09:20
order,USD,655,2016-11-29 08:49:00
invoice,EUR,245,2016-12-03 22:49:04
return,GBP,166,2016-09-12 05:17:25
invoice,EUR,598,2016-07-18 05:10:00
invoice,EUR,562,2016-03-14 20:18:07
invoice,USD,50,2016-11-08 21:46:24
return,GBP,38,2016-11-06 00:27:06
order,EUR,502,2016-05-02 03:37:20
invoice,GBP,682,2016-09-03 23:22:14
order,GBP,711,2016-02-04 02:38:04
invoice,EUR,791,2016-08-19 17:45:34
return,GBP,576,2016-06-30 11:52:50
invoice,GBP,707,2016-09-27 08:20:54
return,USD,902,2016-03-15 18:22:24
return,GBP,723,2016-12-04 06:05:19
order,USD,446,2016-12-11 20:17:15
invoice,USD,212,2016-07-23 21:18:15
return,EUR,423,2016-05-26 11:52:52
return,GBP,105,2016-05-29 04:06:20
invoice,GBP,468,2016-12-17 01:02:41
invoice,EUR,991,2016-08-21 22:28:01
invoice,USD,26,2016-12-21 08:41:50
return,GBP,591,2016-10-21 00:58:34
order,USD,434,2016-10-25 16:39:59
order,USD,350,2016-10-14 10:04:53
order,EUR,119,2016-11-20 11:27:57
return,EUR,195,2016-07-30 15:10:48
return,EUR,611,2016-07-28 22:14:00
order,EUR,818,2016-06-03 06:30:05
order,USD,397,2016-05-22 23:50:05
return,GBP,338,2016-09-23 07:31:20
order,EUR,574,2016-01-31 02:05:30
order,GBP,314,2016-09-03 07:36:07
order,EUR,126,2016-11-13 04:13:17
return,EUR,697,2016-02-15 11:08:24
return,GBP,12,2016-03-26 10:47:06
order,USD,379,2016-08-06 23:00:29
return,GBP,314,2016-08-21 01:30:29
order,USD,249,2016-11-07 12:00:40
order,GBP,304,2016-07-28 06:31:26
invoice,GBP,571,2016-02-18 06:06:34
return,EUR,688,2016-04-11 18:37:05
order,EUR,477,2016-05-31 06:06:39
invoice,EUR,105,2016-11-02 00:38:30
return,GBP,249,2016-08-11 13:26:26
invoice,USD,69,2016-10-02 12:47:22
order,GBP,367,2016-05-15 04:06:56
order,GBP,680,2016-01-31 11:38:28
invoice,USD,2,2016-08-17 09:00:27
invoice,GBP,566,2016-05-22 23:37:20
return,USD,647,2016-10-27 07:00:32
return,USD,46,2016-03-14 14:43:00
order,USD,960,2016-05-10 11:46:16
return,USD,736,2016-03-01 14:19:23
order,GBP,271,2016-11-09 06:37:33
return,EUR,791,2016-05-12 04:17:35
return,GBP,798,2016-10-20 07:14:47
order,USD,140,2016-08-16 12:04:42
invoice,GBP,364,2016-03-07 17:49:37
invoice,USD,114,2016-02-14 07:36:49
invoice,GBP,812,2016-08-09 20:15:45
order,EUR,80,2016-07-22 01:02:55
return,GBP,870,2016-11-23 07:16:18
return,EUR,192,2016-10-06 11:23:59
order,USD,240,2016-10-13 22:24:16
order,USD,639,2016-01-18 10:21:03
return,USD,115,2016-01-30 02:59:26
order,GBP,471,2016-02-11 02:15:12
return,GBP,87,2016-01-15 04:59:22
order,USD,874,2016-10-12 12:28:44
return,GBP,687,2016-01-14 07:28:15
return,USD,454,2016-07-27 07:37:08
order,EUR,188,2016-06-17 02:51:14
invoice,USD,857,2016-10-06 07:11:14
invoice,USD,406,2016-02-24 14:53:31
invoice,GBP,793,2016-09-02 19:35:37
order,EUR,798,2016-04-18 14:35:27
order,EUR,490,2016-01-04 20:36:47
order,EUR,905,2016-11-01 21:23:11
invoice,USD,330,2016-11-20 04:49:53
return,GBP,992,2016-12-06 12:39:57
order,GBP,424,2016-05-10 15:53:12
return,EUR,934,2016-01-12 20:04:27
invoice,USD,213,2016-10-20 18:58:50
invoice,USD,475,2016-08-08 12:54:28
invoice,GBP,29,2016-03-30 02:52:47
order,USD,244,2016-02-13 09:52:05
return,EUR,714,2016-02-11 10:07:11
invoice,GBP,654,2016-01-31 17:42:21
order,USD,559,2016-03-03 09:55:51
return,USD,228,2016-03-20 13:12:13
return,USD,404,2016-03-15 08:19:36
invoice,GBP,321,2016-04-19 19:05:49
order,EUR,680,2016-06-13 21:00:04
return,GBP,951,2016-10-04 07:24:05
invoice,EUR,456,2016-05-20 06:52:53
invoice,GBP,966,2016-11-03 08:36:08
order,USD,631,2016-03-21 12:39:36
invoice,GBP,987,2016-02-24 17:11:18
invoice,GBP,987,2016-11-09 13:26:06
order,GBP,749,2016-01-16 23:30:50
invoice,USD,778,2016-06-26 03:03:50
invoice,EUR,702,2016-09-01 04:16:35
order,GBP,876,2016-01-27 16:22:32
return,USD,797,2016-03-11 16:18:45
order,GBP,160,2016-02-18 15:59:10
invoice,GBP,959,2016-06-19 17:16:46
order,USD,874,2016-12-11 07:17:41
order,EUR,736,2016-01-09 16:11:01
return,EUR,42,2016-05-01 13:37:52
return,EUR,445,2016-01-07 19:47:12
invoice,EUR,326,2016-06-30 10:11:15
invoice,EUR,913,2016-04-06 15:41:03
invoice,GBP,60,2016-02-22 22:39:28
invoice,USD,753,2016-07-14 09:27:07
return,USD,287,2016-03-18 07:26:07
invoice,GBP,22,2016-05-17 10:10:28
order,EUR,208,2016-12-06 11:32:30
invoice,GBP,855,2016-06-02 18:48:45
return,USD,658,2016-02-14 03:35:04
invoice,USD,988,2016-02-23 16:24:03
invoice,USD,692,2016-03-01 15:04:31
invoice,GBP,401,2016-07-02 00:04:17
return,GBP,305,2016-11-30 22:15:27
order,EUR,998,2016-09-08 22:27:55
